x P(x) P'(x) P''(x) P'''(x) P''''(x) P'''''(x)
-1.0000 -0.1346 1.9314 -13.3904 53.3904 -120.0000 120.0000
-0.9798 -0.0982 1.6716 -12.3361 50.9906 -117.5758 120.0000
-0.9596 -0.0669 1.4326 -11.3298 48.6399 -115.1515 120.0000
-0.9394 -0.0402 1.2135 -10.3706 46.3381 -112.7273 120.0000
-0.9192 -0.0178 1.0133 -9.4573 44.0852 -110.3030 120.0000
-0.8990 0.0008 0.8311 -8.5890 41.8814 -107.8788 120.0000
-0.8788 0.0159 0.6660 -7.7648 39.7265 -105.4545 120.0000
-0.8586 0.0279 0.5171 -6.9836 37.6206 -103.0303 120.0000
-0.8384 0.0369 0.3835 -6.2444 35.5636 -100.6061 120.0000
-0.8182 0.0435 0.2645 -5.5463 33.5557 -98.1818 120.0000
-0.7980 0.0477 0.1592 -4.8883 31.5967 -95.7576 120.0000
-0.7778 0.0500 0.0667 -4.2694 29.6867 -93.3333 120.0000
-0.7576 0.0505 -0.0136 -3.6885 27.8257 -90.9091 120.0000
-0.7374 0.0495 -0.0825 -3.1448 26.0136 -88.4848 120.0000
-0.7172 0.0472 -0.1409 -2.6371 24.2505 -86.0606 120.0000
-0.6970 0.0439 -0.1893 -2.1646 22.5364 -83.6364 120.0000
-0.6768 0.0396 -0.2286 -1.7262 20.8713 -81.2121 120.0000
-0.6566 0.0347 -0.2593 -1.3210 19.2551 -78.7879 120.0000
-0.6364 0.0292 -0.2822 -0.9479 17.6879 -76.3636 120.0000
-0.6162 0.0233 -0.2978 -0.6060 16.1697 -73.9394 120.0000
-0.5960 0.0172 -0.3068 -0.2943 14.7005 -71.5152 120.0000
-0.5758 0.0110 -0.3099 -0.0117 13.2802 -69.0909 120.0000
-0.5556 0.0047 -0.3075 0.2426 11.9089 -66.6667 120.0000
-0.5354 -0.0014 -0.3003 0.4698 10.5866 -64.2424 120.0000
-0.5152 -0.0074 -0.2887 0.6707 9.3133 -61.8182 120.0000
-0.4949 -0.0130 -0.2733 0.8464 8.0889 -59.3939 120.0000
-0.4747 -0.0184 -0.2547 0.9979 6.9135 -56.9697 120.0000
-0.4545 -0.0233 -0.2332 1.1261 5.7871 -54.5455 120.0000
-0.4343 -0.0278 -0.2093 1.2320 4.7097 -52.1212 120.0000
-0.4141 -0.0318 -0.1835 1.3167 3.6812 -49.6970 120.0000
-0.3939 -0.0352 -0.1563 1.3811 2.7017 -47.2727 120.0000
-0.3737 -0.0381 -0.1279 1.4262 1.7712 -44.8485 120.0000
-0.3535 -0.0403 -0.0988 1.4530 0.8896 -42.4242 120.0000
-0.3333 -0.0420 -0.0693 1.4625 0.0571 -40.0000 120.0000
-0.3131 -0.0431 -0.0398 1.4556 -0.7265 -37.5758 120.0000
-0.2929 -0.0437 -0.0106 1.4334 -1.4611 -35.1515 120.0000
-0.2727 -0.0436 0.0180 1.3969 -2.1468 -32.7273 120.0000
-0.2525 -0.0429 0.0458 1.3470 -2.7835 -30.3030 120.0000
-0.2323 -0.0417 0.0724 1.2848 -3.3712 -27.8788 120.0000
-0.2121 -0.0400 0.0976 1.2111 -3.9099 -25.4545 120.0000
-0.1919 -0.0378 0.1213 1.1271 -4.3996 -23.0303 120.0000
