tolerance,threads,parallel_result,sequential_result,error,execution_time,mean_evaluations,stddev_evaluations,mean_time,stddev_time
0.001,1,0.15238,0.15238,2.77556e-17,0.0007337,63,0,8.43e-05,0
0.001,2,0.15238,0.15238,2.77556e-17,0.0007048,31.5,7.5,9.345e-05,3.885e-05
0.001,4,0.15238,0.15238,2.77556e-17,0.0007553,15.75,19.2532,6.1275e-05,6.61401e-05
0.001,8,0.15238,0.15238,0,0.001261,7.875,5.77576,0.000134463,0.000113084
0.001,16,0.15238,0.15238,2.77556e-17,0.00218,3.9375,4.1903,0.000119237,0.000113145
1e-06,1,0.152381,0.152381,1.38778e-16,0.0026293,1929,0,0.00157,0
1e-06,2,0.152381,0.152381,1.66533e-16,0.0027548,964.5,123.5,0.0013154,3.61e-05
1e-06,4,0.152381,0.152381,2.22045e-16,0.003045,482.25,46.655,0.0013322,5.06716e-05
1e-06,8,0.152381,0.152381,2.77556e-17,0.0043732,241.125,27.4793,0.00154517,0.00021824
1e-06,16,0.152381,0.152381,1.94289e-16,0.0045909,120.562,11.979,0.00133609,0.000174753
