n,threads,parallel_result,sequential_result,error,execution_time,mean_eval,std_eval,mean_time,std_time
1000,1,3.42837e-16,3.42837e-16,0,0.0004015,1001,0,4.9e-06,0
1000,2,-6.66134e-16,3.42837e-16,1.00897e-15,0.0004664,501,0,3.2e-06,7e-07
1000,4,1.11022e-16,3.42837e-16,2.31815e-16,0.0006031,251,0,1.625e-06,2.48747e-07
1000,8,0,3.42837e-16,3.42837e-16,0.0008423,126,0,8.375e-07,1.11102e-07
1000,16,7.15355e-08,3.42837e-16,7.15355e-08,0.0013729,63,0,6.25e-07,5.39096e-07
10000,1,-2.86526e-16,-2.86526e-16,0,0.0002485,10001,0,4.76e-05,0
10000,2,6.66134e-16,-2.86526e-16,9.5266e-16,0.0002688,5001,0,2.38e-05,0
10000,4,-1.77636e-15,-2.86526e-16,1.48983e-15,0.000434,2501,0,1.2125e-05,1.08972e-07
10000,8,-1.11022e-15,-2.86526e-16,8.23697e-16,0.0006897,1251,0,7.025e-06,1.83763e-06
10000,16,-1.66533e-16,-2.86526e-16,1.19993e-16,0.0012904,626,0,3.68125e-06,5.65927e-07
100000,1,2.55991e-16,2.55991e-16,0,0.0008449,100001,0,0.0004741,0
100000,2,-4.88498e-15,2.55991e-16,5.14097e-15,0.0005577,50001,0,0.000243,2.7e-06
100000,4,1.33227e-15,2.55991e-16,1.07628e-15,0.0005816,25001,0,0.000161825,3.21383e-05
100000,8,-3.88578e-16,2.55991e-16,6.44569e-16,0.0008203,12501,0,7.565e-05,1.29631e-05
100000,16,1.38778e-15,2.55991e-16,1.13179e-15,0.0014441,6251,0,3.73812e-05,6.32033e-06
